Date,Close,High,Low,Open,Volume,Ticker
2025-06-05,190.83493041992188,193.31782056410177,188.58047708014487,192.5729535208478,3096500,DHR
2025-06-06,194.67843627929688,195.30411423156644,191.57977936708687,193.0099263797442,2802200,DHR
2025-06-09,197.83668518066406,198.9192216548156,194.00310216235854,196.1582490055776,4119400,DHR
2025-06-10,201.23326110839844,202.07744975855394,196.66475266372234,199.3959316262331,4626200,DHR
2025-06-11,203.3189239501953,205.5833187120664,201.28295085478354,201.680222399017,4491400,DHR
2025-06-12,203.69630432128906,204.36171703145402,201.3425142655936,202.1469682113996,3661200,DHR
2025-06-13,199.296630859375,202.87199884686962,199.05826794208892,202.1569252493707,3391400,DHR
2025-06-16,199.73361206054688,201.00485058098917,196.09865731255158,200.5678594981449,3143400,DHR
2025-06-17,194.4102783203125,198.90927358710067,194.03287420776763,197.6380351762053,2968600,DHR
2025-06-18,193.10926818847656,195.65174529656701,191.7982949052905,194.062689526831,3236300,DHR
2025-06-20,195.04592895507812,195.25449840729223,192.8907820025441,195.18497020510097,6590900,DHR
2025-06-23,194.99624633789062,195.65173293807933,191.5599350478552,193.91370992974615,3943100,DHR
2025-06-24,196.11851501464844,197.36988610939562,194.60891366311057,195.99934114496523,2739800,DHR
2025-06-25,199.62437438964844,199.99183729410504,194.3606440738754,195.55242835279248,4379600,DHR
2025-06-26,200.0812225341797,204.20281403942224,199.22710773340103,200.5976527639651,5685500,DHR
2025-06-27,197.7535400390625,202.42879668101386,196.6593242558859,200.98643236934896,5619700,DHR
2025-06-30,196.50015258789062,199.3948381354777,194.9881647207765,197.8728931936469,4537400,DHR
2025-07-01,200.0414276123047,203.96067493634118,195.34627219776308,195.95306180112237,3976000,DHR
2025-07-02,201.43405151367188,202.32930789345667,198.25089916742095,201.11572868981295,3503600,DHR
2025-07-03,202.13035583496094,203.22457152621843,201.29478122261906,202.2298355081542,1390700,DHR
2025-07-07,198.5791778564453,201.4340656833412,197.61428259914143,200.98643746196083,2388400,DHR
2025-07-08,199.62364196777344,203.53296290405953,197.93259355972174,198.13153775270388,4225600,DHR
2025-07-09,199.90216064453125,201.15552258671795,196.08236272738003,199.93200151135946,2050700,DHR
2025-07-10,204.42819213867188,207.05429460034594,199.53409278639143,200.349783601005,3088200,DHR
2025-07-11,203.7716827392578,204.72662083243867,202.43872491738907,204.4281969863944,2369000,DHR
2025-07-14,196.7090606689453,199.00689859510732,193.86411486072853,198.9472168586046,4925400,DHR
2025-07-15,191.8448028564453,198.94721792938566,191.36733378338587,198.36032727932633,4521900,DHR
2025-07-16,192.28250122070312,193.25733839970906,190.14380938678372,192.37202383155213,2662400,DHR
2025-07-17,193.76463317871094,194.0630570366088,191.4071135404069,192.8594348869936,3064800,DHR
2025-07-18,189.0496063232422,195.16722750898916,188.08471105377433,194.63007667225492,4240300,DHR
2025-07-21,187.0800323486328,189.3281305513288,186.56276530803706,188.8904442230146,5898600,DHR
2025-07-22,188.9103240966797,195.2965276215524,184.52353453840618,185.76695458246553,7053300,DHR
2025-07-23,196.84832763671875,200.66811064534124,193.7845386052814,199.4644884556324,6374400,DHR
2025-07-24,201.74241638183594,203.60256794292772,196.9676802940746,196.9676802940746,7411400,DHR
2025-07-25,204.39837646484375,205.3035899891756,201.59322846113315,202.4586440401818,5355700,DHR
2025-07-28,201.87173461914062,204.95540723961912,201.16546535139983,203.1250965667389,5160200,DHR
2025-07-29,205.76116943359375,206.43758269947014,200.9366932519492,202.030909039065,4973300,DHR
2025-07-30,202.9162139892578,206.3778912220411,202.0110005334065,205.85068232543927,5692900,DHR
2025-07-31,196.12216186523438,202.94605172681455,195.76405628264393,200.4393126486815,6060700,DHR
2025-08-01,196.05252075195312,196.1221595598034,191.24794389970438,194.30179080123955,5736500,DHR
2025-08-04,196.4206085205078,196.64939358697347,192.97881473384172,194.96828705068543,3176900,DHR
2025-08-05,197.9922637939453,199.59378949885675,195.4656408151156,196.34101342752973,4001100,DHR
2025-08-06,194.14263916015625,198.00222001259576,193.12800410728926,197.55459181171761,5123000,DHR
2025-08-07,197.44517517089844,198.0320658306854,194.52064859030787,196.06249259051012,2670100,DHR
2025-08-08,199.50425720214844,199.68331758165633,196.2116833474083,197.4451614978456,2963100,DHR
2025-08-11,198.70848083496094,201.1356393837105,198.11164827314175,199.78279766039773,2566300,DHR
2025-08-12,204.63710021972656,204.796261629625,198.6090022206466,199.116312138922,2830000,DHR
2025-08-13,208.03909301757812,208.21815339604836,204.95540524858856,204.95540524858856,3241300,DHR
2025-08-14,209.11341857910156,209.362102597469,206.0695286228388,207.64121344033725,2634500,DHR
2025-08-15,209.81967163085938,211.2819348657469,208.7254710626536,210.903945481097,3210200,DHR
2025-08-18,207.9097900390625,211.03326083463367,207.60142427180853,209.88932037318148,2859900,DHR
2025-08-19,211.08299255371094,211.93846618727233,207.77051959510007,208.6458922001772,4851300,DHR
2025-08-20,210.28720092773438,212.88346269981022,209.68041131269848,211.08299282624395,3302500,DHR
2025-08-21,202.82669067382812,209.6008564636385,202.8167487767848,209.21290998038668,3172700,DHR
2025-08-22,210.6851043701172,211.4510554001992,204.5475845898648,205.79100468744758,3364900,DHR
2025-08-25,206.6365203857422,210.6154646814282,206.19883408466185,210.18773545530655,1985800,DHR
2025-08-26,205.164306640625,208.25793630789627,204.58735792053469,206.68625155560898,3670600,DHR
2025-08-27,203.9208984375,206.29831708531555,202.7272181652668,204.55752892792225,2503200,DHR
2025-08-28,204.20936584472656,204.5973123138413,200.95658974925254,203.39369014130486,2519900,DHR
2025-08-29,204.73658752441406,206.6066810357681,203.62247279207824,204.25910327692668,1979800,DHR
2025-09-02,202.71726989746094,204.91564343026334,199.62363991620512,203.48322096996282,2389000,DHR
2025-09-03,198.39016723632812,202.96594412060185,197.63415809744995,201.71258211765323,3468200,DHR
2025-09-04,197.98233032226562,198.7383243152232,191.16838177474227,197.85300976852824,3673600,DHR
2025-09-05,199.15611267089844,202.8067921790463,197.58442787926128,198.3802045821687,2837600,DHR
2025-09-08,197.58444213867188,197.90274980711314,193.31701564578822,194.64001651862912,3502100,DHR
2025-09-09,193.30706787109375,198.101687973759,192.37201350981255,197.5844361309608,3345100,DHR
2025-09-10,191.5762176513672,195.89336858778003,191.35737449989298,193.02853900401703,5509500,DHR
2025-09-11,194.1326904296875,195.18710821016154,192.4515840829641,193.67510516988514,3426200,DHR
2025-09-12,189.0496063232422,193.97354717743718,187.8658678888351,193.97354717743718,3899900,DHR
2025-09-15,187.5475311279297,190.56159537085964,186.05542702954375,190.05427026318904,4675400,DHR
2025-09-16,189.46739196777344,191.0589758477691,186.77165037591712,188.0051286418372,4817600,DHR
2025-09-17,191.9243927001953,195.2965475974665,189.72601915891207,190.20350343316682,4419300,DHR
2025-09-18,194.24212646484375,195.1174839293666,192.282495093536,192.8793276586468,2871800,DHR
2025-09-19,192.2725372314453,195.46564684313412,191.65580569648023,195.13738210335538,5934200,DHR
2025-09-22,189.4574432373047,192.07358884448556,189.22864300707218,190.8898504634737,2949600,DHR
2025-09-23,188.72134399414062,189.8553426004166,187.41824206342085,188.99986890245617,3461200,DHR
2025-09-24,184.931396484375,188.18417268186238,184.47381118873776,187.64702185334525,5522100,DHR
2025-09-25,180.5048065185547,184.10574608677805,179.0823261041423,183.45915856078435,7433800,DHR
2025-09-26,184.19183349609375,184.4509315073803,180.7140813164308,181.1126725880191,4847900,DHR
2025-09-29,185.40756225585938,186.1449728564388,182.80671383598775,185.1983071537876,3513100,DHR
2025-09-30,197.5647735595703,197.674388440422,185.00896599847795,185.72644245400122,7731200,DHR
2025-10-01,212.13351440429688,212.38263774789257,197.93348381934223,198.01320511392672,11404100,DHR
